0,0.61,1.23,1.84,2.46,3.07,3.69,4.3,4.92,5.53,6.15,6.76,7.37,7.99,8.6,9.22,9.83,10.44,11.06,11.67,12.28,12.9,13.51,14.12,14.73,15.34,15.95,16.56,17.17,17.78,18.39,18.99,19.6,20.21,20.81,21.42,22.02,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62,21.53,20.42,19.29,18.15,16.99,15.82,14.63,13.43,12.22,11,9.77,8.53,7.28,6.03,4.76,3.5,2.23,0.95,-0.32,-1.59,-2.86,-4.13,-5.39,-6.65,-7.91,-9.15,-10.39,-11.62,-12.83,-14.04,-15.23,-16.41,-17.57,-18.72,-19.85,-20.97,-22.08,-23.16,-24.23,-25.28,-26.31,-27.32,-28.32,-29.3,-30.26,-31.2,-32.12,-33.03,-33.91,-34.78,-35.63,-36.46,-37.28,-38.08,-38.86,-39.62,-40.37,-41.1,-41.82,-42.52,-43.2,-43.87,-44.52,-45.17,-45.79,-46.4,-47,-47.59,-48.16,-48.72,-49.27,-49.81,-50.33,-50.85,-51.35,-51.35,-49.86,-48.21,-46.38,-44.37,-42.18,-39.81,-37.26,-34.55,-31.7,-28.74,-25.69,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-22.62,-21.53,-20.42,-19.29,-18.15,-16.99,-15.82,-14.63,-13.43,-12.22,-11,-9.77,-8.53,-7.28,-6.03,-4.76,-3.5,-2.23,-0.95,0.32,1.59,2.86,4.13,5.39,6.65,7.91,9.15,10.39,11.62,12.83,14.04,15.23,16.41,17.57,18.72,19.85,20.97,22.08,23.16,24.23,25.28,26.31,27.32,28.32,29.3,30.26,31.2,32.12,33.03,33.91,34.78,35.63,36.46,37.28,38.08,38.86,39.62,40.37,41.1,41.82,42.52,43.2,43.87,44.52,45.17,45.79,46.4,47,47.59,48.16,48.72,49.27,49.81,50.33,50.85,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,51.35,50.6,49.83,49.03,48.21,47.35,46.46,45.54,44.59,43.6,42.58,41.52,40.43,39.29,38.12,36.9,35.64,34.34,33,31.61,30.18,28.7,27.18,25.61,24,22.35,20.65,18.92,17.15,15.34,13.5,11.63,9.73,7.81,5.88,3.93,1.97,0
90,90,89.98,89.96,89.93,89.89,89.83,89.77,89.71,89.63,89.54,89.44,89.33,89.21,89.09,88.95,88.8,88.64,88.47,88.29,88.1,87.89,87.68,87.45,87.21,86.96,86.7,86.42,86.13,85.83,85.52,85.19,84.85,84.49,84.12,83.73,83.33,82.92,82.92,82.7,82.44,82.14,81.8,81.41,80.99,80.52,80.01,79.46,78.87,78.23,77.56,77.56,78.18,78.78,79.34,79.88,80.38,80.85,81.29,81.7,82.07,82.41,82.72,82.98,83.22,83.41,83.57,83.69,83.78,83.83,83.84,83.81,83.74,83.64,83.5,83.32,83.11,82.85,82.57,82.25,81.89,81.5,81.08,80.62,80.13,79.61,79.06,78.48,77.87,77.24,76.57,75.88,75.16,74.41,73.64,72.85,72.03,71.19,70.32,69.43,68.51,67.58,66.62,65.63,64.63,63.6,62.54,61.46,60.36,59.23,58.07,56.88,55.67,54.42,53.14,51.82,50.46,49.07,47.62,46.12,44.57,42.95,41.25,39.46,37.57,35.55,33.37,33.37,39.92,45.81,51.21,56.2,60.81,65.07,68.98,72.53,75.71,78.51,80.91,82.92,82.92,82.7,82.44,82.14,81.8,81.41,80.99,80.52,80.01,79.46,78.87,78.23,77.56,77.56,78.18,78.78,79.34,79.88,80.38,80.85,81.29,81.7,82.07,82.41,82.72,82.98,83.22,83.41,83.57,83.69,83.78,83.83,83.84,83.81,83.74,83.64,83.5,83.32,83.11,82.85,82.57,82.25,81.89,81.5,81.08,80.62,80.13,79.61,79.06,78.48,77.87,77.24,76.57,75.88,75.16,74.41,73.64,72.85,72.03,71.19,70.32,69.43,68.51,67.58,66.62,65.63,64.63,63.6,62.54,61.46,60.36,59.23,58.07,56.88,55.67,54.42,53.14,51.82,50.46,49.07,47.62,46.12,44.57,42.95,41.25,39.46,37.57,35.55,33.37,33.37,33.54,33.64,33.68,33.63,33.5,33.27,32.93,32.44,31.78,30.88,29.63,27.72,27.72,34.1,38.51,42.15,45.36,48.26,50.94,53.45,55.82,58.07,60.22,62.27,64.24,66.14,67.95,69.7,71.39,73,74.55,76.04,77.46,78.82,80.1,81.32,82.47,83.54,84.54,85.46,86.31,87.07,87.74,88.34,88.84,89.26,89.58,89.81,89.95,90
0,-0,-0,-0,-0,-0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0,0,0.01,0.03,0.04,0.06,0.08,0.11,0.14,0.17,0.21,0.26,0.31,0.37,0.43,0.5,0.58,0.67,0.77,0.88,0.99,0.99,-0.11,-1.16,-2.18,-3.15,-4.08,-4.97,-5.82,-6.63,-7.39,-8.11,-8.79,-9.43,-9.43,-10.16,-10.85,-11.5,-12.11,-12.68,-13.21,-13.7,-14.16,-14.57,-14.95,-15.28,-15.58,-15.83,-16.05,-16.22,-16.35,-16.45,-16.5,-16.51,-16.48,-16.4,-16.29,-16.14,-15.95,-15.71,-15.44,-15.12,-14.77,-14.37,-13.94,-13.46,-12.95,-12.4,-11.81,-11.18,-10.51,-9.8,-9.06,-8.27,-7.45,-6.59,-5.7,-4.76,-3.79,-2.78,-1.73,-0.64,0.49,1.65,2.86,4.11,5.39,6.72,8.1,9.52,10.98,12.49,14.05,15.66,17.33,19.05,20.83,22.68,24.6,26.58,28.65,30.81,33.06,35.42,37.9,40.51,43.29,46.26,49.45,52.94,52.94,45.85,39.77,34.36,29.47,24.98,20.83,16.96,13.35,9.97,6.79,3.8,0.99,0.99,-0.11,-1.16,-2.18,-3.15,-4.08,-4.97,-5.82,-6.63,-7.39,-8.11,-8.79,-9.43,-9.43,-10.16,-10.85,-11.5,-12.11,-12.68,-13.21,-13.7,-14.16,-14.57,-14.95,-15.28,-15.58,-15.83,-16.05,-16.22,-16.35,-16.45,-16.5,-16.51,-16.48,-16.4,-16.29,-16.14,-15.95,-15.71,-15.44,-15.12,-14.77,-14.37,-13.94,-13.46,-12.95,-12.4,-11.81,-11.18,-10.51,-9.8,-9.06,-8.27,-7.45,-6.59,-5.7,-4.76,-3.79,-2.78,-1.73,-0.64,0.49,1.65,2.86,4.11,5.39,6.72,8.1,9.52,10.98,12.49,14.05,15.66,17.33,19.05,20.83,22.68,24.6,26.58,28.65,30.81,33.06,35.42,37.9,40.51,43.29,46.26,49.45,52.94,52.94,54,55.16,56.44,57.83,59.37,61.07,62.95,65.07,67.48,70.3,73.71,78.23,78.23,68.13,61.44,56.08,51.5,47.46,43.8,40.46,37.37,34.5,31.82,29.29,26.92,24.69,22.57,20.58,18.69,16.91,15.23,13.65,12.16,10.76,9.45,8.22,7.09,6.04,5.07,4.19,3.4,2.68,2.05,1.51,1.05,0.67,0.38,0.17,0.04,0
0,0.81,1.62,2.43,3.24,4.05,4.86,5.66,6.47,7.27,8.07,8.86,9.66,10.45,11.24,12.03,12.81,13.59,14.37,15.14,15.91,16.68,17.45,18.21,18.97,19.73,20.49,21.24,22,22.75,23.5,24.25,25.01,25.76,26.51,27.27,28.03,28.79,28.79,28.98,29.19,29.42,29.66,29.92,30.2,30.49,30.81,31.14,31.49,31.86,32.26,32.26,32.37,32.48,32.56,32.63,32.69,32.74,32.76,32.78,32.78,32.77,32.74,32.7,32.64,32.57,32.49,32.39,32.28,32.16,32.02,31.87,31.72,31.54,31.36,31.17,30.97,30.76,30.54,30.31,30.07,29.83,29.58,29.32,29.06,28.79,28.52,28.24,27.96,27.68,27.4,27.11,26.82,26.54,26.25,25.96,25.68,25.39,25.11,24.83,24.55,24.27,24,23.73,23.46,23.2,22.94,22.69,22.44,22.2,21.97,21.74,21.51,21.29,21.08,20.88,20.68,20.49,20.32,20.15,19.99,19.84,19.71,19.59,19.49,19.41,19.36,19.36,16.38,13.41,10.36,7.14,3.71,-0,-4.01,-8.35,-13.02,-18.01,-23.29,-28.79,-28.79,-28.98,-29.19,-29.42,-29.66,-29.92,-30.2,-30.49,-30.81,-31.14,-31.49,-31.86,-32.26,-32.26,-32.37,-32.48,-32.56,-32.63,-32.69,-32.74,-32.76,-32.78,-32.78,-32.77,-32.74,-32.7,-32.64,-32.57,-32.49,-32.39,-32.28,-32.16,-32.02,-31.87,-31.72,-31.54,-31.36,-31.17,-30.97,-30.76,-30.54,-30.31,-30.07,-29.83,-29.58,-29.32,-29.06,-28.79,-28.52,-28.24,-27.96,-27.68,-27.4,-27.11,-26.82,-26.54,-26.25,-25.96,-25.68,-25.39,-25.11,-24.83,-24.55,-24.27,-24,-23.73,-23.46,-23.2,-22.94,-22.69,-22.44,-22.2,-21.97,-21.74,-21.51,-21.29,-21.08,-20.88,-20.68,-20.49,-20.32,-20.15,-19.99,-19.84,-19.71,-19.59,-19.49,-19.41,-19.36,-19.36,-19.51,-19.68,-19.86,-20.06,-20.29,-20.54,-20.83,-21.15,-21.53,-21.98,-22.54,-23.3,-23.3,-21.82,-20.88,-20.15,-19.53,-18.97,-18.47,-17.99,-17.53,-17.09,-16.65,-16.22,-15.79,-15.35,-14.91,-14.45,-13.99,-13.51,-13.01,-12.5,-11.97,-11.42,-10.85,-10.26,-9.65,-9.01,-8.36,-7.68,-6.98,-6.26,-5.52,-4.77,-4,-3.21,-2.42,-1.62,-0.81,0
-90,-89.99,-89.95,-89.88,-89.78,-89.66,-89.52,-89.34,-89.14,-88.92,-88.66,-88.39,-88.08,-87.76,-87.4,-87.03,-86.63,-86.2,-85.75,-85.28,-84.79,-84.28,-83.74,-83.18,-82.61,-82.01,-81.4,-80.76,-80.11,-79.44,-78.76,-78.06,-77.34,-76.61,-75.87,-75.11,-74.34,-73.56,-73.56,-72.41,-71.26,-70.11,-68.96,-67.82,-66.68,-65.55,-64.42,-63.29,-62.16,-61.05,-59.93,-59.93,-60.39,-60.86,-61.35,-61.86,-62.38,-62.91,-63.46,-64.02,-64.59,-65.17,-65.76,-66.35,-66.96,-67.57,-68.18,-68.8,-69.42,-70.04,-70.66,-71.29,-71.91,-72.53,-73.15,-73.77,-74.38,-74.99,-75.59,-76.2,-76.79,-77.39,-77.98,-78.56,-79.14,-79.72,-80.29,-80.86,-81.43,-82,-82.56,-83.12,-83.68,-84.24,-84.8,-85.36,-85.92,-86.49,-87.06,-87.63,-88.21,-88.79,-89.38,-89.97,-90.58,-91.19,-91.82,-92.46,-93.1,-93.77,-94.45,-95.14,-95.86,-96.59,-97.35,-98.13,-98.93,-99.77,-100.64,-101.55,-102.49,-103.49,-104.54,-105.65,-106.84,-108.12,-109.52,-109.52,-104.8,-100.47,-96.44,-92.67,-89.16,-85.9,-82.93,-80.27,-77.97,-76.06,-74.58,-73.56,-73.56,-72.41,-71.26,-70.11,-68.96,-67.82,-66.68,-65.55,-64.42,-63.29,-62.16,-61.05,-59.93,-59.93,-60.39,-60.86,-61.35,-61.86,-62.38,-62.91,-63.46,-64.02,-64.59,-65.17,-65.76,-66.35,-66.96,-67.57,-68.18,-68.8,-69.42,-70.04,-70.66,-71.29,-71.91,-72.53,-73.15,-73.77,-74.38,-74.99,-75.59,-76.2,-76.79,-77.39,-77.98,-78.56,-79.14,-79.72,-80.29,-80.86,-81.43,-82,-82.56,-83.12,-83.68,-84.24,-84.8,-85.36,-85.92,-86.49,-87.06,-87.63,-88.21,-88.79,-89.38,-89.97,-90.58,-91.19,-91.82,-92.46,-93.1,-93.77,-94.45,-95.14,-95.86,-96.59,-97.35,-98.13,-98.93,-99.77,-100.64,-101.55,-102.49,-103.49,-104.54,-105.65,-106.84,-108.12,-109.52,-109.52,-110.67,-111.87,-113.1,-114.37,-115.69,-117.06,-118.51,-120.03,-121.66,-123.44,-125.44,-127.85,-127.85,-123.59,-120.65,-118.22,-116.1,-114.19,-112.45,-110.83,-109.32,-107.9,-106.57,-105.3,-104.11,-102.97,-101.9,-100.87,-99.9,-98.98,-98.11,-97.29,-96.51,-95.77,-95.08,-94.43,-93.83,-93.27,-92.75,-92.28,-91.85,-91.46,-91.12,-90.83,-90.57,-90.37,-90.21,-90.09,-90.02,-90
0,0.61,1.23,1.84,2.45,3.05,3.66,4.25,4.85,5.43,6.01,6.58,7.15,7.7,8.25,8.78,9.31,9.82,10.32,10.81,11.28,11.74,12.19,12.62,13.03,13.43,13.82,14.18,14.53,14.87,15.18,15.48,15.75,16.01,16.25,16.46,16.66,16.84,16.84,16.17,15.5,14.82,14.12,13.42,12.71,11.98,11.24,10.49,9.72,8.93,8.13,8.13,7.08,6.02,4.97,3.91,2.85,1.78,0.72,-0.35,-1.42,-2.49,-3.56,-4.63,-5.7,-6.77,-7.84,-8.9,-9.97,-11.03,-12.09,-13.14,-14.19,-15.23,-16.26,-17.29,-18.31,-19.32,-20.32,-21.31,-22.29,-23.26,-24.21,-25.15,-26.08,-26.99,-27.89,-28.77,-29.64,-30.49,-31.32,-32.13,-32.93,-33.71,-34.47,-35.22,-35.94,-36.65,-37.34,-38.01,-38.66,-39.3,-39.91,-40.51,-41.08,-41.64,-42.18,-42.71,-43.21,-43.69,-44.16,-44.61,-45.04,-45.45,-45.83,-46.21,-46.55,-46.88,-47.19,-47.47,-47.73,-47.97,-48.17,-48.35,-48.48,-48.58,-48.62,-48.62,-48.33,-47.5,-46.2,-44.48,-42.35,-39.81,-36.87,-33.54,-29.83,-25.77,-21.42,-16.84,-16.84,-16.17,-15.5,-14.82,-14.12,-13.42,-12.71,-11.98,-11.24,-10.49,-9.72,-8.93,-8.13,-8.13,-7.08,-6.02,-4.97,-3.91,-2.85,-1.78,-0.72,0.35,1.42,2.49,3.56,4.63,5.7,6.77,7.84,8.9,9.97,11.03,12.09,13.14,14.19,15.23,16.26,17.29,18.31,19.32,20.32,21.31,22.29,23.26,24.21,25.15,26.08,26.99,27.89,28.77,29.64,30.49,31.32,32.13,32.93,33.71,34.47,35.22,35.94,36.65,37.34,38.01,38.66,39.3,39.91,40.51,41.08,41.64,42.18,42.71,43.21,43.69,44.16,44.61,45.04,45.45,45.83,46.21,46.55,46.88,47.19,47.47,47.73,47.97,48.17,48.35,48.48,48.58,48.62,48.62,48.19,47.73,47.25,46.75,46.21,45.64,45.03,44.36,43.62,42.78,41.79,40.52,40.52,41.89,42.42,42.59,42.56,42.37,42.05,41.63,41.12,40.53,39.87,39.13,38.32,37.44,36.5,35.49,34.43,33.3,32.11,30.85,29.54,28.17,26.75,25.26,23.72,22.13,20.49,18.8,17.06,15.28,13.46,11.6,9.72,7.81,5.88,3.93,1.97,0
